rank,candidate_id,semantic_score,skill_score,behavior_score,experience_score,final_score,explanation
446,CAND_0071858,0.7557,4.5467,0.1672,0.7,1.5774,Strong semantic match with job description
447,CAND_0052612,0.7063,4.2033,0.4696,1.0,1.5773,Relevant professional experience
448,CAND_0017706,0.7332,4.0133,0.6526,1.0,1.5771,Positive candidate engagement signals; Relevant professional experience
449,CAND_0063323,0.7194,4.6833,0.0626,0.7,1.5761,Moderate overall profile match
450,CAND_0056114,0.7237,4.5033,0.052,1.0,1.5757,Relevant professional experience
451,CAND_0060784,0.7702,4.26,0.2616,1.0,1.5754,Strong semantic match with job description; Relevant professional experience
452,CAND_0085982,0.7529,4.5667,0.138,0.7,1.5754,Strong semantic match with job description
453,CAND_0019382,0.7292,4.4467,0.334,0.7,1.5752,Moderate overall profile match
454,CAND_0093095,0.7377,4.6033,0.12,0.7,1.5749,Moderate overall profile match
455,CAND_0043061,0.7386,4.4067,0.3634,0.7,1.5748,Moderate overall profile match
456,CAND_0046695,0.7507,4.4333,0.0812,1.0,1.5748,Strong semantic match with job description; Relevant professional experience
457,CAND_0021974,0.7425,4.1933,0.3968,1.0,1.5747,Relevant professional experience
458,CAND_0006007,0.7233,4.4933,0.059,1.0,1.5745,Relevant professional experience
459,CAND_0062762,0.7125,4.2233,0.4174,1.0,1.5743,Relevant professional experience
460,CAND_0008981,0.7376,4.17,0.6578,0.7,1.5741,Positive candidate engagement signals
461,CAND_0013229,0.7582,4.3367,0.1832,1.0,1.5741,Strong semantic match with job description; Relevant professional experience
462,CAND_0048167,0.7435,4.4,0.3584,0.7,1.5741,Moderate overall profile match
463,CAND_0075279,0.7525,4.23,0.5528,0.7,1.5741,Strong semantic match with job description; Positive candidate engagement signals
464,CAND_0018260,0.742,4.5667,0.1524,0.7,1.5739,Moderate overall profile match
465,CAND_0042380,0.7318,4.65,0.0682,0.7,1.5739,Moderate overall profile match
466,CAND_0052328,0.7801,3.8,0.8094,1.0,1.5739,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
467,CAND_0064670,0.7305,4.5967,0.1378,0.7,1.5739,Moderate overall profile match
468,CAND_0094256,0.7146,4.37,0.4524,0.7,1.5738,Moderate overall profile match
469,CAND_0034735,0.7582,4.53,0.1634,0.7,1.5735,Strong semantic match with job description
470,CAND_0070328,0.7476,4.54,0.5468,0.2,1.5734,Positive candidate engagement signals
471,CAND_0018415,0.7321,4.5133,0.0102,1.0,1.5732,Relevant professional experience
472,CAND_0056998,0.7314,4.5333,0.2114,0.7,1.5732,Moderate overall profile match
473,CAND_0059244,0.7423,4.3833,0.3768,0.7,1.5731,Moderate overall profile match
474,CAND_0053591,0.7834,3.78,0.823,1.0,1.573,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
475,CAND_0049320,0.7239,4.3733,0.4248,0.7,1.5728,Moderate overall profile match
476,CAND_0071336,0.7397,4.3667,0.3976,0.7,1.5721,Moderate overall profile match
477,CAND_0075528,0.7281,4.5967,0.1336,0.7,1.5721,Moderate overall profile match
478,CAND_0048079,0.7377,4.3367,0.2132,1.0,1.5719,Relevant professional experience
479,CAND_0079273,0.7492,4.4667,0.2526,0.7,1.5719,Moderate overall profile match
480,CAND_0084415,0.7337,4.5867,0.5086,0.2,1.5719,Positive candidate engagement signals
481,CAND_0020884,0.7408,4.52,0.2012,0.7,1.5716,Moderate overall profile match
482,CAND_0035530,0.7448,4.4367,0.296,0.7,1.5713,Moderate overall profile match
483,CAND_0039087,0.7294,3.98,0.6722,1.0,1.5712,Positive candidate engagement signals; Relevant professional experience
484,CAND_0089362,0.7333,4.2833,0.285,1.0,1.5712,Relevant professional experience
485,CAND_0029699,0.7474,4.6533,0.018,0.7,1.5709,Moderate overall profile match
486,CAND_0002697,0.7418,4.3933,0.3538,0.7,1.5708,Moderate overall profile match
487,CAND_0005644,0.7343,4.3833,0.1562,1.0,1.5708,Relevant professional experience
488,CAND_0049656,0.7406,4.25,0.3104,1.0,1.5708,Relevant professional experience
489,CAND_0090597,0.7497,4.2433,0.2998,1.0,1.5707,Relevant professional experience
490,CAND_0020931,0.735,4.1767,0.635,0.7,1.5702,Positive candidate engagement signals
491,CAND_0053470,0.7424,4.4,0.3412,0.7,1.5702,Moderate overall profile match
492,CAND_0063915,0.6995,4.5233,0.0472,1.0,1.5701,Relevant professional experience
493,CAND_0086540,0.7504,4.2167,0.3288,1.0,1.5701,Strong semantic match with job description; Relevant professional experience
494,CAND_0011104,0.7696,4.3633,0.3314,0.7,1.57,Strong semantic match with job description
495,CAND_0005904,0.7389,4.54,-0.0534,1.0,1.5699,Relevant professional experience
496,CAND_0058144,0.7518,4.4933,-0.021,1.0,1.5698,Strong semantic match with job description; Relevant professional experience
497,CAND_0016473,0.7605,4.34,0.3774,0.7,1.5697,Strong semantic match with job description
498,CAND_0018536,0.7528,4.28,0.243,1.0,1.5697,Strong semantic match with job description; Relevant professional experience
499,CAND_0084796,0.7406,4.3533,0.1758,1.0,1.5697,Relevant professional experience
500,CAND_0035204,0.7164,4.3867,0.4042,0.7,1.5691,Moderate overall profile match
501,CAND_0070802,0.7624,4.37,0.3332,0.7,1.5691,Strong semantic match with job description
502,CAND_0018005,0.7692,4.5833,0.0524,0.7,1.569,Strong semantic match with job description
503,CAND_0001147,0.7375,4.2633,0.5136,0.7,1.5685,Positive candidate engagement signals
504,CAND_0051213,0.7105,4.3467,0.2382,1.0,1.5685,Relevant professional experience
505,CAND_0087888,0.7274,4.16,0.4378,1.0,1.5685,Relevant professional experience
506,CAND_0091358,0.7328,4.16,0.4264,1.0,1.5684,Relevant professional experience
507,CAND_0086793,0.755,4.6533,-0.0102,0.7,1.5683,Strong semantic match with job description
508,CAND_0096565,0.7418,4.4867,0.5992,0.2,1.5682,Positive candidate engagement signals
509,CAND_0098617,0.7526,4.6367,0.015,0.7,1.5682,Strong semantic match with job description
510,CAND_0008794,0.7438,4.4767,0.0072,1.0,1.5681,Relevant professional experience
511,CAND_0044699,0.7222,4.5333,0.2046,0.7,1.5681,Moderate overall profile match
512,CAND_0086302,0.7183,4.18,0.654,0.7,1.5681,Positive candidate engagement signals
513,CAND_0090813,0.7555,4.4333,0.6352,0.2,1.5676,Strong semantic match with job description; Positive candidate engagement signals
514,CAND_0091715,0.7413,4.51,0.1924,0.7,1.5675,Moderate overall profile match
515,CAND_0069144,0.7042,4.1933,0.6602,0.7,1.5671,Positive candidate engagement signals
516,CAND_0053111,0.7522,4.1167,0.434,1.0,1.5669,Strong semantic match with job description; Relevant professional experience
517,CAND_0053558,0.7345,4.2967,0.4686,0.7,1.5667,Moderate overall profile match
518,CAND_0040543,0.7451,4.6033,0.0634,0.7,1.5666,Moderate overall profile match
519,CAND_0042296,0.7494,4.55,0.1212,0.7,1.5665,Moderate overall profile match
520,CAND_0059853,0.7289,4.4267,0.091,1.0,1.5664,Relevant professional experience
521,CAND_0091436,0.7499,4.59,0.0696,0.7,1.5664,Moderate overall profile match
522,CAND_0057679,0.7455,4.27,0.4776,0.7,1.5662,Moderate overall profile match
523,CAND_0058592,0.7467,4.26,0.4868,0.7,1.566,Moderate overall profile match
524,CAND_0014723,0.7507,4.43,0.2654,0.7,1.5659,Strong semantic match with job description
525,CAND_0023544,0.7238,4.3367,0.4362,0.7,1.5659,Moderate overall profile match
526,CAND_0083160,0.7452,4.2333,0.2972,1.0,1.5659,Relevant professional experience
527,CAND_0007915,0.7162,4.3667,0.4134,0.7,1.5658,Moderate overall profile match
528,CAND_0034144,0.7504,4.3167,0.1824,1.0,1.5658,Strong semantic match with job description; Relevant professional experience
529,CAND_0050779,0.733,4.39,0.125,1.0,1.5657,Relevant professional experience
530,CAND_0015693,0.7345,4.1967,0.3624,1.0,1.5655,Relevant professional experience
531,CAND_0036394,0.745,4.42,0.0624,1.0,1.5655,Relevant professional experience
532,CAND_0048533,0.7225,4.22,0.3566,1.0,1.5653,Relevant professional experience
533,CAND_0093283,0.7554,4.2633,0.4606,0.7,1.5651,Strong semantic match with job description
534,CAND_0013154,0.7456,4.45,0.0202,1.0,1.5648,Relevant professional experience
535,CAND_0079596,0.7838,4.3133,0.3396,0.7,1.5648,Strong semantic match with job description
536,CAND_0046300,0.7328,4.1567,0.4122,1.0,1.5647,Relevant professional experience
537,CAND_0077228,0.7358,4.44,0.0516,1.0,1.5647,Relevant professional experience
538,CAND_0020903,0.7448,4.5233,0.1532,0.7,1.5644,Moderate overall profile match
539,CAND_0022843,0.7479,4.2233,0.5214,0.7,1.5643,Positive candidate engagement signals
540,CAND_0033385,0.7467,4.03,0.5406,1.0,1.5643,Positive candidate engagement signals; Relevant professional experience
541,CAND_0064959,0.7409,4.3633,0.36,0.7,1.5642,Moderate overall profile match
542,CAND_0050238,0.7284,4.56,0.1388,0.7,1.5641,Moderate overall profile match
543,CAND_0085111,0.7522,4.5767,0.069,0.7,1.5639,Strong semantic match with job description
544,CAND_0063025,0.7628,4.3233,0.1392,1.0,1.5638,Strong semantic match with job description; Relevant professional experience
545,CAND_0022108,0.7169,4.2367,0.338,1.0,1.5635,Relevant professional experience
546,CAND_0013593,0.727,4.38,0.138,1.0,1.5634,Relevant professional experience
547,CAND_0022289,0.744,4.63,0.0158,0.7,1.5633,Moderate overall profile match
548,CAND_0064544,0.7434,4.35,0.1424,1.0,1.5633,Relevant professional experience
549,CAND_0012779,0.7541,4.6033,0.0278,0.7,1.563,Strong semantic match with job description
550,CAND_0077511,0.7031,4.35,0.4456,0.7,1.5629,Moderate overall profile match
551,CAND_0089567,0.7388,4.5133,0.5452,0.2,1.5629,Positive candidate engagement signals
552,CAND_0031043,0.727,4.2633,0.2802,1.0,1.5627,Relevant professional experience
553,CAND_0009535,0.7551,4.3833,0.2986,0.7,1.5626,Strong semantic match with job description
554,CAND_0065261,0.7323,4.2533,0.5062,0.7,1.5625,Positive candidate engagement signals
555,CAND_0004207,0.7426,4.5033,0.1724,0.7,1.5624,Moderate overall profile match
556,CAND_0026316,0.7456,4.0967,0.4492,1.0,1.5623,Relevant professional experience
557,CAND_0029229,0.744,4.42,0.2728,0.7,1.5622,Moderate overall profile match
558,CAND_0033748,0.7557,4.3167,0.3788,0.7,1.5622,Strong semantic match with job description
559,CAND_0015235,0.7279,4.6533,0.0118,0.7,1.5618,Moderate overall profile match
560,CAND_0095592,0.7431,4.1933,0.3302,1.0,1.5616,Relevant professional experience
561,CAND_0082330,0.7495,4.21,0.521,0.7,1.5615,Positive candidate engagement signals
562,CAND_0066649,0.7366,4.0767,0.7124,0.7,1.5613,Positive candidate engagement signals
563,CAND_0093684,0.7538,4.0633,0.6928,0.7,1.5609,Strong semantic match with job description; Positive candidate engagement signals
564,CAND_0056954,0.7699,4.05,0.675,0.7,1.5605,Strong semantic match with job description; Positive candidate engagement signals
565,CAND_0029272,0.7662,4.0,0.7442,0.7,1.5603,Strong semantic match with job description; Positive candidate engagement signals
566,CAND_0090242,0.7275,4.56,0.121,0.7,1.5602,Moderate overall profile match
567,CAND_0013371,0.6983,4.3133,0.2616,1.0,1.56,Relevant professional experience
568,CAND_0083998,0.7219,4.2533,0.2894,1.0,1.56,Relevant professional experience
569,CAND_0084279,0.7194,4.4467,0.0528,1.0,1.56,Relevant professional experience
570,CAND_0023444,0.7592,4.2767,0.4098,0.7,1.5598,Strong semantic match with job description
571,CAND_0007513,0.7204,4.44,0.0574,1.0,1.5596,Relevant professional experience
572,CAND_0096352,0.7482,4.6433,-0.0294,0.7,1.5592,Moderate overall profile match
573,CAND_0016524,0.745,4.56,0.08,0.7,1.559,Moderate overall profile match
574,CAND_0099738,0.7369,4.3233,0.3918,0.7,1.5589,Moderate overall profile match
575,CAND_0065530,0.7444,4.4833,0.1736,0.7,1.5583,Moderate overall profile match
576,CAND_0010332,0.7557,4.3367,0.1086,1.0,1.5582,Strong semantic match with job description; Relevant professional experience
577,CAND_0020477,0.7441,4.29,0.4148,0.7,1.5581,Moderate overall profile match
578,CAND_0062233,0.7063,4.5133,-0.0136,1.0,1.5581,Relevant professional experience
579,CAND_0055510,0.7535,4.3367,0.3368,0.7,1.5579,Strong semantic match with job description
580,CAND_0093335,0.7353,4.4533,0.2268,0.7,1.5578,Moderate overall profile match
581,CAND_0057972,0.753,4.5633,0.0532,0.7,1.5577,Strong semantic match with job description
582,CAND_0010207,0.7437,4.08,0.4502,1.0,1.5575,Relevant professional experience
583,CAND_0022196,0.7517,4.63,-0.0294,0.7,1.5573,Strong semantic match with job description
584,CAND_0028410,0.7481,4.4267,0.2314,0.7,1.5572,Moderate overall profile match
585,CAND_0033457,0.7125,4.5033,0.207,0.7,1.5572,Moderate overall profile match
586,CAND_0070532,0.7302,4.1167,0.43,1.0,1.5572,Relevant professional experience
587,CAND_0080102,0.7863,4.0,0.4622,1.0,1.557,Strong semantic match with job description; Relevant professional experience
588,CAND_0088827,0.7318,4.3,0.4212,0.7,1.557,Moderate overall profile match
589,CAND_0033435,0.7247,4.2833,0.4558,0.7,1.5569,Moderate overall profile match
590,CAND_0045747,0.6918,4.6233,0.0966,0.7,1.5569,Moderate overall profile match
591,CAND_0052486,0.7416,4.34,0.1252,1.0,1.5567,Relevant professional experience
592,CAND_0062784,0.7483,4.0467,0.4776,1.0,1.5565,Relevant professional experience
593,CAND_0035313,0.7432,4.34,0.3456,0.7,1.5564,Moderate overall profile match
594,CAND_0071342,0.7305,4.4133,0.2794,0.7,1.5564,Moderate overall profile match
595,CAND_0065862,0.7381,4.43,0.243,0.7,1.5563,Moderate overall profile match
596,CAND_0029275,0.764,4.3533,0.2864,0.7,1.5562,Strong semantic match with job description
597,CAND_0070036,0.7186,4.51,0.1796,0.7,1.5559,Moderate overall profile match
598,CAND_0003937,0.7283,4.3567,0.3484,0.7,1.5552,Moderate overall profile match
599,CAND_0073915,0.7252,4.25,0.2628,1.0,1.5551,Relevant professional experience
600,CAND_0007584,0.744,4.6067,0.0038,0.7,1.555,Moderate overall profile match
601,CAND_0077798,0.7669,3.9133,0.5974,1.0,1.5546,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
602,CAND_0093282,0.7665,4.2067,0.4562,0.7,1.5545,Strong semantic match with job description
603,CAND_0042393,0.7651,4.57,0.3792,0.2,1.5544,Strong semantic match with job description
604,CAND_0072784,0.7695,3.99,0.7202,0.7,1.5544,Strong semantic match with job description; Positive candidate engagement signals
605,CAND_0087548,0.7324,4.5167,0.1364,0.7,1.5544,Moderate overall profile match
606,CAND_0052029,0.7269,4.65,-0.0216,0.7,1.5539,Moderate overall profile match
607,CAND_0099288,0.7407,4.13,0.3752,1.0,1.5538,Relevant professional experience
608,CAND_0014564,0.7277,4.1233,0.6338,0.7,1.5537,Positive candidate engagement signals
609,CAND_0057552,0.7334,4.5667,0.0668,0.7,1.5534,Moderate overall profile match
610,CAND_0011478,0.7608,4.42,0.195,0.7,1.5533,Strong semantic match with job description
611,CAND_0031594,0.7381,4.1133,0.3984,1.0,1.5533,Relevant professional experience
612,CAND_0002557,0.7416,4.07,0.445,1.0,1.5531,Relevant professional experience
613,CAND_0076644,0.7271,4.6533,0.3446,0.2,1.5531,Moderate overall profile match
614,CAND_0056128,0.7173,4.4833,0.2014,0.7,1.553,Moderate overall profile match
615,CAND_0066480,0.727,4.22,0.511,0.7,1.553,Positive candidate engagement signals
616,CAND_0078262,0.7534,4.0,0.7324,0.7,1.5528,Strong semantic match with job description; Positive candidate engagement signals
617,CAND_0001200,0.7201,4.4367,0.0274,1.0,1.5527,Relevant professional experience
618,CAND_0097634,0.7293,3.9833,0.5752,1.0,1.5526,Positive candidate engagement signals; Relevant professional experience
619,CAND_0029996,0.7521,4.2667,0.175,1.0,1.5525,Strong semantic match with job description; Relevant professional experience
620,CAND_0054022,0.7529,4.0,0.5068,1.0,1.5525,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
621,CAND_0094460,0.7272,4.19,0.5456,0.7,1.5525,Positive candidate engagement signals
622,CAND_0015097,0.7916,4.0,0.4282,1.0,1.5523,Strong semantic match with job description; Relevant professional experience
623,CAND_0009288,0.7506,4.1333,0.343,1.0,1.5522,Strong semantic match with job description; Relevant professional experience
624,CAND_0032419,0.7154,4.4333,0.2634,0.7,1.5522,Moderate overall profile match
625,CAND_0043628,0.7672,4.3067,0.318,0.7,1.5522,Strong semantic match with job description
626,CAND_0007858,0.7435,4.3533,0.082,1.0,1.5521,Relevant professional experience
627,CAND_0051701,0.7172,4.0,0.576,1.0,1.5521,Positive candidate engagement signals; Relevant professional experience
628,CAND_0006259,0.7061,4.2333,0.5312,0.7,1.552,Positive candidate engagement signals
629,CAND_0099879,0.729,4.5567,0.0808,0.7,1.5519,Moderate overall profile match
630,CAND_0015425,0.7668,4.53,0.0378,0.7,1.5518,Strong semantic match with job description
631,CAND_0090832,0.7361,4.38,0.0618,1.0,1.5518,Relevant professional experience
632,CAND_0005125,0.7236,4.5533,0.0936,0.7,1.5515,Moderate overall profile match
633,CAND_0020049,0.793,3.88,0.7952,0.7,1.5512,Strong semantic match with job description; Positive candidate engagement signals
634,CAND_0086826,0.7437,4.5267,0.0852,0.7,1.5512,Moderate overall profile match
635,CAND_0012723,0.7355,4.0933,0.418,1.0,1.5511,Relevant professional experience
636,CAND_0028225,0.7443,4.5567,0.0462,0.7,1.5511,Moderate overall profile match
637,CAND_0085220,0.7256,4.4933,0.1626,0.7,1.5511,Moderate overall profile match
638,CAND_0004393,0.7492,4.3267,0.097,1.0,1.5507,Relevant professional experience
639,CAND_0010439,0.7192,4.4133,0.0472,1.0,1.5505,Relevant professional experience
640,CAND_0029563,0.7245,4.07,0.4656,1.0,1.5504,Relevant professional experience
641,CAND_0045900,0.7356,4.51,0.1184,0.7,1.5504,Moderate overall profile match
642,CAND_0008764,0.754,4.14,0.3186,1.0,1.5503,Strong semantic match with job description; Relevant professional experience
643,CAND_0024466,0.7732,4.0,0.4536,1.0,1.55,Strong semantic match with job description; Relevant professional experience
644,CAND_0025963,0.7168,4.5767,0.0704,0.7,1.55,Moderate overall profile match
645,CAND_0049130,0.7339,4.5767,0.4088,0.2,1.5495,Moderate overall profile match
646,CAND_0046105,0.7481,4.5067,0.0918,0.7,1.5493,Moderate overall profile match
647,CAND_0075448,0.7301,4.34,0.1112,1.0,1.5493,Relevant professional experience
648,CAND_0064567,0.7541,4.5667,0.0038,0.7,1.5491,Strong semantic match with job description
649,CAND_0011856,0.7002,4.5833,0.0904,0.7,1.549,Moderate overall profile match
650,CAND_0025112,0.7569,4.2233,0.4268,0.7,1.549,Strong semantic match with job description
651,CAND_0029492,0.7143,4.3267,0.3828,0.7,1.5489,Moderate overall profile match
652,CAND_0035411,0.7499,4.4567,0.5238,0.2,1.5489,Positive candidate engagement signals
653,CAND_0045671,0.7307,3.96,0.5818,1.0,1.5487,Positive candidate engagement signals; Relevant professional experience
654,CAND_0013309,0.7245,4.1433,0.3646,1.0,1.5486,Relevant professional experience
655,CAND_0089479,0.7435,4.3133,0.3386,0.7,1.5484,Moderate overall profile match
656,CAND_0007860,0.7455,4.2433,0.4206,0.7,1.5481,Moderate overall profile match
657,CAND_0008795,0.7543,4.4967,0.086,0.7,1.5481,Strong semantic match with job description
658,CAND_0043985,0.7539,4.4933,0.0912,0.7,1.5481,Strong semantic match with job description
659,CAND_0054703,0.741,3.94,0.5834,1.0,1.5481,Positive candidate engagement signals; Relevant professional experience
660,CAND_0093958,0.7733,4.0,0.4438,1.0,1.5481,Strong semantic match with job description; Relevant professional experience
661,CAND_0050935,0.6882,4.1833,0.3844,1.0,1.548,Relevant professional experience
662,CAND_0034846,0.7427,4.3567,0.0584,1.0,1.5479,Relevant professional experience
663,CAND_0044883,0.8046,3.68,0.7804,1.0,1.5479,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
664,CAND_0052387,0.7394,4.07,0.648,0.7,1.5479,Positive candidate engagement signals
665,CAND_0081008,0.747,3.9467,0.562,1.0,1.5479,Positive candidate engagement signals; Relevant professional experience
666,CAND_0026480,0.7455,3.8833,0.643,1.0,1.5476,Positive candidate engagement signals; Relevant professional experience
667,CAND_0027680,0.721,4.41,0.258,0.7,1.5475,Moderate overall profile match
668,CAND_0095879,0.7486,4.1533,0.2978,1.0,1.5473,Relevant professional experience
669,CAND_0026552,0.7378,4.53,0.0728,0.7,1.5472,Moderate overall profile match
670,CAND_0060125,0.7223,4.2767,0.4206,0.7,1.5472,Moderate overall profile match
671,CAND_0000001,0.707,3.91,0.6838,1.0,1.547,Positive candidate engagement signals; Relevant professional experience
672,CAND_0032764,0.7598,4.2233,0.4106,0.7,1.5469,Strong semantic match with job description
673,CAND_0080494,0.7228,4.23,0.2496,1.0,1.5466,Relevant professional experience
674,CAND_0099054,0.763,4.13,0.2946,1.0,1.5466,Strong semantic match with job description; Relevant professional experience
675,CAND_0022359,0.7368,4.4767,0.1378,0.7,1.5464,Moderate overall profile match
676,CAND_0039208,0.7616,4.1567,0.4872,0.7,1.5463,Strong semantic match with job description
677,CAND_0016440,0.744,4.2833,0.139,1.0,1.5462,Relevant professional experience
678,CAND_0099331,0.7454,4.2467,0.4032,0.7,1.5455,Moderate overall profile match
679,CAND_0059623,0.7292,4.2667,0.4098,0.7,1.5453,Moderate overall profile match
680,CAND_0007813,0.7495,4.1367,0.3064,1.0,1.5452,Relevant professional experience
681,CAND_0059225,0.7356,4.49,0.1174,0.7,1.5452,Moderate overall profile match
682,CAND_0006639,0.7422,4.1167,0.3446,1.0,1.545,Relevant professional experience
683,CAND_0029469,0.7428,4.55,0.0264,0.7,1.5449,Moderate overall profile match
684,CAND_0018133,0.7453,4.0333,0.4414,1.0,1.5447,Relevant professional experience
685,CAND_0018688,0.7268,4.11,0.6076,0.7,1.5447,Positive candidate engagement signals
686,CAND_0085219,0.7345,4.2833,0.375,0.7,1.5446,Moderate overall profile match
687,CAND_0090472,0.7501,4.3133,0.306,0.7,1.5446,Strong semantic match with job description
688,CAND_0083088,0.691,4.4833,-0.0162,1.0,1.544,Relevant professional experience
689,CAND_0099889,0.7209,4.5233,0.0992,0.7,1.544,Moderate overall profile match
690,CAND_0094922,0.7434,4.5267,0.0486,0.7,1.5438,Moderate overall profile match
691,CAND_0009678,0.7428,4.4267,0.1744,0.7,1.5437,Moderate overall profile match
692,CAND_0056302,0.757,4.1,0.329,1.0,1.5436,Strong semantic match with job description; Relevant professional experience
693,CAND_0057725,0.7516,4.1433,0.5092,0.7,1.5433,Strong semantic match with job description; Positive candidate engagement signals
694,CAND_0021265,0.6895,4.44,0.2622,0.7,1.5432,Moderate overall profile match
695,CAND_0083517,0.7398,4.0667,0.403,1.0,1.5432,Relevant professional experience
696,CAND_0034369,0.7406,4.2933,0.1172,1.0,1.543,Relevant professional experience
697,CAND_0046147,0.726,4.27,0.4008,0.7,1.543,Moderate overall profile match
698,CAND_0084700,0.7553,4.3267,0.0454,1.0,1.5429,Strong semantic match with job description; Relevant professional experience
699,CAND_0033243,0.7635,4.2133,0.3944,0.7,1.5426,Strong semantic match with job description
700,CAND_0036707,0.7301,4.47,0.1394,0.7,1.5424,Moderate overall profile match
701,CAND_0007937,0.6721,4.51,0.2044,0.7,1.5422,Moderate overall profile match
702,CAND_0033472,0.732,4.1033,0.368,1.0,1.5422,Relevant professional experience
703,CAND_0064715,0.7367,4.1833,0.483,0.7,1.5421,Moderate overall profile match
704,CAND_0076500,0.7452,3.91,0.5818,1.0,1.542,Positive candidate engagement signals; Relevant professional experience
705,CAND_0097972,0.7227,4.1167,0.5932,0.7,1.5419,Positive candidate engagement signals
706,CAND_0017823,0.7273,4.1767,0.2834,1.0,1.5418,Relevant professional experience
707,CAND_0039332,0.7509,3.95,0.5198,1.0,1.5418,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
708,CAND_0024962,0.7541,4.0533,0.608,0.7,1.5416,Strong semantic match with job description; Positive candidate engagement signals
709,CAND_0028875,0.7267,4.7233,0.1996,0.2,1.5414,Moderate overall profile match
710,CAND_0095141,0.7812,4.41,0.1072,0.7,1.5414,Strong semantic match with job description
711,CAND_0033757,0.7346,4.16,0.287,1.0,1.5412,Relevant professional experience
712,CAND_0094985,0.7294,4.2767,0.3766,0.7,1.5412,Moderate overall profile match
713,CAND_0018882,0.7549,4.2367,0.15,1.0,1.5411,Strong semantic match with job description; Relevant professional experience
714,CAND_0037961,0.7181,4.4767,0.5228,0.2,1.541,Positive candidate engagement signals
715,CAND_0043278,0.7232,4.17,0.5208,0.7,1.5409,Positive candidate engagement signals
716,CAND_0032699,0.747,4.51,0.0462,0.7,1.5406,Moderate overall profile match
717,CAND_0045666,0.7245,4.2467,0.4206,0.7,1.5406,Moderate overall profile match
718,CAND_0088596,0.7312,4.2933,0.3492,0.7,1.5406,Moderate overall profile match
719,CAND_0033577,0.7682,4.1333,0.4742,0.7,1.5405,Strong semantic match with job description
720,CAND_0065028,0.756,4.21,0.403,0.7,1.5405,Strong semantic match with job description
721,CAND_0015083,0.7351,4.6167,-0.0642,0.7,1.5404,Moderate overall profile match
722,CAND_0082863,0.7291,4.3067,0.3352,0.7,1.5404,Moderate overall profile match
723,CAND_0091067,0.7135,4.3033,0.371,0.7,1.5404,Moderate overall profile match
724,CAND_0072658,0.7351,4.77,0.1188,0.2,1.5403,Moderate overall profile match
725,CAND_0081086,0.7807,4.0,0.3892,1.0,1.5401,Strong semantic match with job description; Relevant professional experience
726,CAND_0005743,0.7353,4.4233,0.1752,0.7,1.54,Moderate overall profile match
727,CAND_0023092,0.7373,4.2233,0.1962,1.0,1.54,Relevant professional experience
728,CAND_0067771,0.7621,4.26,0.326,0.7,1.54,Strong semantic match with job description
729,CAND_0064286,0.7419,4.1733,0.2484,1.0,1.5398,Relevant professional experience
730,CAND_0030953,0.7783,3.6833,0.7864,1.0,1.5394,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
731,CAND_0069889,0.7481,4.2467,0.7414,0.2,1.5392,Positive candidate engagement signals
732,CAND_0037919,0.7518,4.3067,0.2834,0.7,1.5391,Strong semantic match with job description
733,CAND_0073940,0.7427,3.9133,0.5684,1.0,1.5391,Positive candidate engagement signals; Relevant professional experience
734,CAND_0006432,0.7075,3.95,0.5928,1.0,1.539,Positive candidate engagement signals; Relevant professional experience
735,CAND_0011323,0.7495,4.48,0.0706,0.7,1.5389,Moderate overall profile match
736,CAND_0004123,0.7461,4.4833,0.072,0.7,1.5387,Moderate overall profile match
737,CAND_0005649,0.7932,3.67,0.7696,1.0,1.5387,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
738,CAND_0037224,0.7389,4.6967,0.1942,0.2,1.5386,Moderate overall profile match
739,CAND_0081366,0.7154,4.15,0.55,0.7,1.5386,Positive candidate engagement signals
740,CAND_0074405,0.7457,4.2333,0.3842,0.7,1.5385,Moderate overall profile match
741,CAND_0043301,0.7397,4.2167,0.4162,0.7,1.5383,Moderate overall profile match
742,CAND_0059493,0.754,4.3767,0.1876,0.7,1.5383,Strong semantic match with job description
743,CAND_0020009,0.7422,4.0767,0.361,1.0,1.5382,Relevant professional experience
744,CAND_0015070,0.7583,4.3667,0.1904,0.7,1.5381,Strong semantic match with job description
745,CAND_0027751,0.7369,4.4133,0.175,0.7,1.5381,Moderate overall profile match
746,CAND_0042018,0.7215,4.11,0.3602,1.0,1.5381,Relevant professional experience
747,CAND_0036548,0.7466,4.2267,0.3886,0.7,1.538,Moderate overall profile match
748,CAND_0077776,0.7578,3.77,0.7116,1.0,1.538,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
749,CAND_0027691,0.7866,3.67,0.7786,1.0,1.5379,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
750,CAND_0097960,0.7111,4.1367,0.3464,1.0,1.5379,Relevant professional experience
